袜子加成,糖果加成,礼物盒加成,Q9,Q10,Q11,Q12,共需耗体
0.3,0.6,0.4,139.0,54.0,118.0,0.0,6220.0
0.3,0.6,0.6,98.0,66.0,130.0,0.0,5880.0
0.3,0.6,0.8,62.0,77.0,141.0,0.0,5600.0
0.3,0.6,1,34.0,85.0,149.0,1.0,5380.0
0.3,0.8,0.4,155.0,49.0,94.0,0.0,5960.0
0.3,0.8,0.6,115.0,61.0,106.0,0.0,5640.0
0.3,0.8,0.8,78.0,72.0,117.0,0.0,5340.0
0.3,0.8,1,51.0,80.0,125.0,1.0,5140.0
0.3,1,0.4,162.0,47.0,81.0,1.0,5820.0
0.3,1,0.6,123.0,59.0,92.0,0.0,5480.0
0.3,1,0.8,88.0,69.0,102.0,0.0,5180.0
0.3,1,1,58.0,78.0,111.0,2.0,4980.0
0.5,0.6,0.4,143.0,43.0,117.0,1.0,6080.0
0.5,0.6,0.6,105.0,54.0,128.0,0.0,5740.0
0.5,0.6,0.8,71.0,64.0,138.0,0.0,5460.0
0.5,0.6,1,43.0,72.0,146.0,1.0,5240.0
0.5,0.8,0.4,162.0,38.0,92.0,0.0,5840.0
0.5,0.8,0.6,115.0,51.0,106.0,3.0,5500.0
0.5,0.8,0.8,87.0,59.0,114.0,0.0,5200.0
0.5,0.8,1,63.0,66.0,121.0,0.0,5000.0
0.5,1,0.4,165.0,37.0,80.0,3.0,5700.0
0.5,1,0.6,130.0,47.0,90.0,1.0,5360.0
0.5,1,0.8,88.0,59.0,102.0,4.0,5060.0
0.5,1,1,71.0,64.0,107.0,0.0,4840.0
0.6,0.6,0.4,150.0,35.0,115.0,0.0,6000.0
0.6,0.6,0.6,108.0,47.0,127.0,1.0,5660.0
0.6,0.6,0.8,77.0,56.0,136.0,0.0,5380.0
0.6,0.6,1,50.0,64.0,144.0,0.0,5160.0
0.6,0.8,0.4,167.0,30.0,91.0,0.0,5760.0
0.6,0.8,0.6,129.0,41.0,102.0,0.0,5440.0
0.6,0.8,0.8,92.0,52.0,113.0,0.0,5140.0
0.6,0.8,1,67.0,59.0,120.0,0.0,4920.0
0.6,1,0.4,174.0,28.0,78.0,1.0,5620.0
0.6,1,0.6,130.0,41.0,90.0,3.0,5280.0
0.6,1,0.8,102.0,49.0,98.0,0.0,4980.0
0.6,1,1,78.0,56.0,105.0,0.0,4780.0
0.7,0.6,0.4,153.0,29.0,114.0,1.0,5940.0
0.7,0.6,0.6,108.0,42.0,127.0,3.0,5600.0
0.7,0.6,0.8,77.0,51.0,136.0,2.0,5320.0
0.7,0.6,1,56.0,57.0,142.0,0.0,5100.0
0.7,0.8,0.4,173.0,23.0,89.0,0.0,5700.0
0.7,0.8,0.6,132.0,35.0,101.0,0.0,5360.0
0.7,0.8,0.8,97.0,45.0,111.0,0.0,5060.0
0.7,0.8,1,71.0,53.0,119.0,0.0,4860.0
0.7,1,0.4,183.0,20.0,75.0,0.0,5560.0
0.7,1,0.6,137.0,34.0,88.0,2.0,5220.0
0.7,1,0.8,104.0,43.0,98.0,1.0,4920.0
0.7,1,1,81.0,50.0,104.0,0.0,4700.0
0.8,0.6,0.4,160.0,22.0,112.0,0.0,5880.0
0.8,0.6,0.6,119.0,34.0,124.0,0.0,5540.0
0.8,0.6,0.8,84.0,45.0,134.0,0.0,5260.0
0.8,0.6,1,58.0,52.0,142.0,0.0,5040.0
0.8,0.8,0.4,176.0,18.0,88.0,0.0,5640.0
0.8,0.8,0.6,133.0,30.0,101.0,1.0,5300.0
0.8,0.8,0.8,102.0,39.0,110.0,0.0,5020.0
0.8,0.8,1,70.0,49.0,119.0,2.0,4800.0
0.8,1,0.4,187.0,14.0,74.0,0.0,5500.0
0.8,1,0.6,144.0,27.0,86.0,1.0,5160.0
0.8,1,0.8,110.0,37.0,96.0,0.0,4860.0
0.8,1,1,85.0,44.0,103.0,0.0,4640.0
1,0.6,0.4,164.0,16.0,111.0,0.0,5820.0
1,0.6,0.6,119.0,29.0,124.0,2.0,5480.0
1,0.6,0.8,87.0,38.0,133.0,1.0,5180.0
1,0.6,1,63.0,45.0,140.0,0.0,4960.0
1,0.8,0.4,182.0,11.0,86.0,0.0,5580.0
1,0.8,0.6,140.0,23.0,99.0,0.0,5240.0
1,0.8,0.8,105.0,33.0,109.0,0.0,4940.0
1,0.8,1,80.0,40.0,116.0,0.0,4720.0
1,1,0.4,189.0,9.0,74.0,0.0,5440.0
1,1,0.6,151.0,20.0,84.0,0.0,5100.0
1,1,0.8,116.0,30.0,94.0,0.0,4800.0
1,1,1,88.0,38.0,102.0,1.0,4580.0
